Stock,Shareholder Name,Category
RELIANCE,Reliance Industrial Investments and Holdings Limited,Promoters
RELIANCE,Reliance Industrial Investments and Holdings Ltd e...,Promoters
RELIANCE,Reliance Services and Holdings Limited a company c...,Promoters
RELIANCE,Samarjit Enterprises LLP,Promoters
RELIANCE,Petroleum Trust thru Trustees for sole beneficiary...,Promoters
RELIANCE,K D Ambani,Promoters
RELIANCE,Shreeji Comtrade LLP,Promoters
RELIANCE,Shrikrishna Tradecom LLP,Promoters
RELIANCE,Svar Enterprises LLP,Promoters
RELIANCE,Mukesh D Ambani,Promoters
RELIANCE,Nita M Ambani,Promoters
RELIANCE,Isha M Ambani,Promoters
RELIANCE,Akash M Ambani,Promoters
RELIANCE,Anant M Ambani,Promoters
RELIANCE,Reliance Welfare Association,Promoters
RELIANCE,Vasuprada Enterprises LLP,Promoters
RELIANCE,Kankhal Trading LLP,Promoters
RELIANCE,Bhuvanesh Enterprises LLP,Promoters
RELIANCE,Ajitesh Enterprises LLP,Promoters
RELIANCE,Badri Commercials LLP,Promoters
RELIANCE,Abhayaprada Enterprises LLP,Promoters
RELIANCE,Trilokesh Commercials LLP,Promoters
RELIANCE,Taran Enterprises LLP,Promoters
RELIANCE,Pitambar Enterprises LLP,Promoters
RELIANCE,Adisesh Enterprises LLP,Promoters
RELIANCE,Rishikesh Enterprises LLP,Promoters
RELIANCE,Pavana Enterprises LLP,Promoters
RELIANCE,Kamalakar Enterprises LLP,Promoters
RELIANCE,Narahari Enterprises LLP,Promoters
RELIANCE,Exotic Officeinfra Private Limited,Promoters
RELIANCE,Carat Holdings and Trading Co Pvt Ltd,Promoters
RELIANCE,Neutron Enterprises Private Limited,Promoters
RELIANCE,Futura Commercials Private Limited,Promoters
RELIANCE,Chakradev Enterprises LLP,Promoters
RELIANCE,Chakradhar Commercials LLP,Promoters
RELIANCE,Chakresh Enterprises LLP,Promoters
RELIANCE,Chhatrabhuj Enterprises LLP,Promoters
RELIANCE,Harinarayan Enterprises LLP,Promoters
RELIANCE,Janardan Commercials LLP,Promoters
RELIANCE,Shripal Enterprises LLP,Promoters
RELIANCE,Synergy Synthetics Private Limited,Promoters
RELIANCE,Vishatan Enterprises LLP,Promoters
RELIANCE,Elakshi Commercials Private Limited,Promoters
RELIANCE,Pinakin Commercials Private Limited,Promoters
RELIANCE,Reliance Life Sciences Private Limited,Promoters
RELIANCE,Sikka Ports & Terminals Limited,Promoters
RELIANCE,Jamnagar Utilities and Power Private Limited,Promoters
RELIANCE,EWPL Holdings Private Limited,Promoters
RELIANCE,Tiruttani Infralog Private Limited,Promoters
RELIANCE,Synergy Synthetics Private Limited (amalgamated wi...,Promoters
RELIANCE,Europacific Growth Fund,FIIs
RELIANCE,Government of Singapore,FIIs
RELIANCE,Life Insurance Corporation of India,DIIs
RELIANCE,SBI Mutual Funds,DIIs
RELIANCE,ICICI Prudential Mutual Funds,DIIs
RELIANCE,NPS Trust,DIIs
TCS,Tata Sons Private Limited,Promoters
TCS,Tata Investment Corporation Limited,Promoters
TCS,Af-Taab Investment Company Limited,Promoters
TCS,Panatone Finvest Limited,Promoters
TCS,Akashastha Technologies Private Limited,Promoters
TCS,The Indian Hotels Company Limited,Promoters
TCS,Tata Chemicals Limited,Promoters
TCS,Tata Industries Limited,Promoters
TCS,Tata Capital Limited,Promoters
TCS,Tata Consumer Products Limited,Promoters
TCS,Voltas Limited,Promoters
TCS,The Tata Power Company Limited,Promoters
TCS,Titan Company Limited,Promoters
TCS,Tata Steel Limited,Promoters
TCS,Tata Projects Limited,Promoters
TCS,Tata Motors Limited,Promoters
TCS,Tata Autocomp Systems Limited,Promoters
TCS,Ewart Investments Limited,Promoters
TCS,Simto Investment Company Limited,Promoters
TCS,Tata International Limited,Promoters
TCS,Trent Limited,Promoters
TCS,Tata Teleservices Limited,Promoters
TCS,Tata Trustee Company Private Limited,Promoters
TCS,"JAMSETJI TATA TRUST (Mr. R.N.Tata, Mr. Vijay Singh...",Promoters
TCS,"NAVAJBAI RATAN TATA TRUST (Mr. R.N. Tata, Mr. Vija...",Promoters
TCS,"JAMSETJI TATA TRUST (Mr. R.N. Tata, Mr. Vijay Sing...",Promoters
TCS,"JAMSETJI TATA TRUST (Mr. Noel N. Tata, Mr. Venu Sr...",Promoters
TCS,"NAVAJBAI RATAN TATA TRUST (Mr. Noel N. Tata, Mr. V...",Promoters
TCS,"Sir Ratan Tata Trust
(Mr. Noel N. Tata, Mr. Venu S...",Promoters
TCS,"Sir Dorabji Tata Trust (Mr. Noel N. Tata, Mr. Venu...",Promoters
TCS,Oasis Smart E-Sim Pte Ltd,Promoters
TCS,OASIS Smart SIM Europe SAS,Promoters
TCS,One Bangalore Luxury Projects LLP,Promoters
TCS,One-Colombo Project (Private) Limited,Promoters
TCS,Princeton Infrastructure Private Limited,Promoters
TCS,Promont Hillside Private Limited,Promoters
TCS,Promont Hilltop Private Limited,Promoters
TCS,Protraviny Private Limited,Promoters
TCS,Pune IT City Metro Rail Limited,Promoters
TCS,Qubit Investments Pte. Limited,Promoters
TCS,Ranata Hospitality Private Limited,Promoters
TCS,Real Stochastics Institute Of Data Private Limited,Promoters
TCS,Ryhpez Holding (Sweden) AB,Promoters
TCS,Saankhya Labs Inc,Promoters
TCS,Savis Retail Private Limited,Promoters
TCS,Sector 113 Gatevida Developers Private Limited,Promoters
TCS,SEPCO Communications (Pty) Limited,Promoters
TCS,"Sir Dorabji Tata Trust
(Mr. Noel N. Tata, Chairman...",Promoters
TCS,"Sir Ratan Tata Trust
(Mr. Noel N. Tata, Chairman
M...",Promoters
TCS,Smart Value Homes (Boisar) Private Limited,Promoters
TCS,Smart Value Homes (New Project) LLP,Promoters
TCS,Smart Value Homes (Peenya Project) Private Limited,Promoters
TCS,Société Financière Décentralisé Alliance Finance C...,Promoters
TCS,Sohna City LLP,Promoters
TCS,Solutions Infini FZ LLC,Promoters
TCS,Solutions Infini Technologies(India) Private Limited,Promoters
TCS,Strategic Energy Technology Systems Private Limited,Promoters
TCS,Stryder Cycle Private Limited,Promoters
TCS,Supermarket Grocery Supplies Private Limited,Promoters
TCS,Synergizers Sustainable Foundation,Promoters
TCS,TACO Engineering Services GmbH,Promoters
TCS,TACO EV Component Solutions Private Limited,Promoters
TCS,TACO Prestolite Electric Private Limited,Promoters
TCS,TACO Punch Powertrain Private Limited,Promoters
TCS,TACO Sasken Automotive Electronics Limited,Promoters
TCS,Taj Air Limited,Promoters
TCS,Talakrit Foundation,Promoters
TCS,TASL Aerostructures Private Limited,Promoters
TCS,Tata 1mg Healthcare Solutions Private Limited,Promoters
TCS,Tata 1mg Technologies Private Limited,Promoters
TCS,Tata Advanced Systems Limited,Promoters
TCS,Tata Advanced Systems Maroc Sarlau,Promoters
TCS,Tata Africa (Cote D’Ivoire) SARL,Promoters
TCS,Tata Africa Holdings (Ghana) Ltd,Promoters
TCS,TATA Africa Holdings (Kenya) Limited,Promoters
TCS,Tata Africa Holdings (SA) (Proprietary) Limited,Promoters
TCS,Tata Africa Holdings (Tanzania) Limited,Promoters
TCS,Tata Africa Services (Nigeria) Limited,Promoters
TCS,Tata Asset Management (Mauritius) Private Limited,Promoters
TCS,Tata Asset Management Private Limited,Promoters
TCS,Tata AutoComp Europe Limited (Formerly Jaguar Land...,Promoters
TCS,Tata AutoComp Gotion Green Energy Solutions Private Limited,Promoters
TCS,Tata Autocomp Hendrickson Suspensions Private Limited,Promoters
TCS,Tata Business Hub Limited,Promoters
TCS,Tata ClassEdge Limited,Promoters
TCS,Tata Communications (America) Inc.,Promoters
TCS,Tata Communications (Australia) Pty Limited,Promoters
TCS,Tata Communications (Beijing) Technology Limited,Promoters
TCS,Tata Communications (Belgium) Srl,Promoters
TCS,Tata Communications (Brazil) Participacoes Limitada,Promoters
TCS,Tata Communications (Canada) Limited,Promoters
TCS,Tata Communications (France) SAS,Promoters
TCS,Tata Communications (Guam) L.L.C.,Promoters
TCS,Tata Communications (Hong Kong) Limited,Promoters
TCS,Tata Communications (Hungary) KFT,Promoters
TCS,Tata Communications (International) Pte Limited,Promoters
TCS,Tata Communications (Ireland) DAC,Promoters
TCS,Tata Communications (Italy) SRL,Promoters
TCS,Tata Communications (Japan) KK.,Promoters
TCS,Tata Communications (Malaysia) Sdn. Bhd.,Promoters
TCS,Tata Communications (Middle East) FZ-LLC,Promoters
TCS,Tata Communications (Netherlands) B.V.,Promoters
TCS,Tata Communications (New Zealand) Limited,Promoters
TCS,Tata Communications (Nordic) AS,Promoters
TCS,Tata Communications (Poland) SP.Z.O.O.,Promoters
TCS,Tata Communications (Portugal) Instalacao E Manute...,Promoters
TCS,Tata Communications (Portugal) Unipessoal LDA,Promoters
TCS,Tata Communications (Russia) LLC,Promoters
TCS,Tata Communications (South Korea) Limited,Promoters
TCS,Tata Communications (Spain) S.L.,Promoters
TCS,Tata Communications (Sweden) AB,Promoters
TCS,Tata Communications (Switzerland) GmbH,Promoters
TCS,Tata Communications (Taiwan) Limited,Promoters
TCS,Tata Communications (Thailand) Limited,Promoters
TCS,Tata Communications (UK) Limited,Promoters
TCS,Tata Communications Collaboration Services Private Limited,Promoters
TCS,Tata Communications Comunicacoes E Multimídia (Bra...,Promoters
TCS,Tata Communications Deutschland GMBH,Promoters
TCS,Tata Communications Lanka Limited,Promoters
TCS,Tata Communications Limited,Promoters
TCS,Tata Communications Middle East Technology Services L.L.C,Promoters
TCS,Tata Communications Services (International) Pte. Limited,Promoters
TCS,Tata Communications SVCS Pte Ltd,Promoters
TCS,Tata Communications Transformation Services (Hungary) Kft.,Promoters
TCS,915 Labs Inc,Promoters
TCS,Tata Communications Transformation Services (US) Inc,Promoters
TCS,Tata Communications Transformation Services Limited,Promoters
TCS,Tata Communications Transformation Services Pte Limited,Promoters
TCS,Tata Communications Transformation Services South ...,Promoters
TCS,Actve Digital Services Private Limited,Promoters
TCS,AFCL Ghana Ltd.,Promoters
TCS,AFCL Premium Services Ltd.,Promoters
TCS,Tata Consulting Engineers Limited,Promoters
TCS,"Tata Consulting Engineers USA, LLC (Formerly CDI E...",Promoters
TCS,Tata Digital Private Limited,Promoters
TCS,AFCL RSA (Pty) Limited,Promoters
TCS,Tata Electronics America Inc,Promoters
TCS,Tata Electronics Private Limited,Promoters
TCS,Tata Electronics Products and Solutions Private Limited,Promoters
TCS,Tata Electronics Singapore Pte. Ltd,Promoters
TCS,Tata Electronics Systems Solutions Private Limited,Promoters
TCS,Tata Electronics Taiwan Co. Ltd,Promoters
TCS,Tata Elxsi Limited,Promoters
TCS,Tata Engineering Consultants Saudi Arabia Company,Promoters
TCS,Tata Fintech Private Limited,Promoters
TCS,Tata Holdings Mocambique Limitada,Promoters
TCS,AFCL Zambia Ltd.,Promoters
TCS,Tata Housing Development Company Limited,Promoters
TCS,Tata Incorporated,Promoters
TCS,"Tata International AG, Zug",Promoters
TCS,Tata International Canada Limited,Promoters
TCS,Tata International Metals (Americas) Limited,Promoters
TCS,Tata International Metals (Asia) Limited,Promoters
TCS,Tata International Metals (Guangzhou) Limited,Promoters
TCS,Tata International Nigeria LFZ Enterprise,Promoters
TCS,Agratas Energy Storage Solutions Private Limited,Promoters
TCS,Tata International Senegal S.A.,Promoters
TCS,Tata International Singapore Pte Limited,Promoters
TCS,Tata International Vehicle Applications Private Limited,Promoters
TCS,Tata International Vietnam Company Limited,Promoters
TCS,Tata International West Asia DMCC,Promoters
TCS,Tata Limited,Promoters
TCS,Tata Medical and Diagnostics Limited,Promoters
TCS,Tata Motors (SA) (Proprietary) Limited,Promoters
TCS,Tata Neu Private Limited,Promoters
TCS,Agratas Limited,Promoters
TCS,Tata Payments Limited,Promoters
TCS,Tata Pension Management Fund Private Limited,Promoters
TCS,Tata Play Broadband Private Limited,Promoters
TCS,Tata Play Limited,Promoters
TCS,Tata Realty and Infrastructure Limited,Promoters
TCS,Tata Semiconductor Assembly And Test Private Limited,Promoters
TCS,Tata Semiconductor Manufacturing Private Limited,Promoters
TCS,Tata South East Asia (Cambodia) Limited,Promoters
TCS,Agratas LLC,Promoters
TCS,Tata Tele NXTGEN Solutions Limited,Promoters
TCS,Tata Teleservices (Maharashtra) Limited,Promoters
TCS,Tata Toyo Radiator Limited,Promoters
TCS,Tata Uganda Limited,Promoters
TCS,Tata Unistore Limited,Promoters
TCS,Tata Value Homes Limited,Promoters
TCS,Tata West Asia FZE,Promoters
TCS,Tata Zambia Limited,Promoters
TCS,AI Fleet Services IFSC Limited,Promoters
TCS,Tata Zimbabwe (Private) Limited,Promoters
TCS,TC (Shanghai) Network Services Company Limited,Promoters
TCS,TC Networks Switzerland SA,Promoters
TCS,TCC Construction Private Limited,Promoters
TCS,TCE Delaware Corp.,Promoters
TCS,TCPOP Communication GmbH,Promoters
TCS,Air India Express Limited,Promoters
TCS,TCTS Senegal Limited,Promoters
TCS,Technopolis Knowledge Park Limited,Promoters
TCS,Tejas Communication Pte Limited,Promoters
TCS,Air India Limited,Promoters
TCS,Tejas Communications (Nigeria) Limited,Promoters
TCS,Tejas Networks Limited,Promoters
TCS,TEL Components Private Limited,Promoters
TCS,TESS Services Private Limited,Promoters
TCS,THDC Management Services Limited,Promoters
TCS,"The Switch Enterprises, Llc",Promoters
TCS,TIGAL Autoleather Private Limited,Promoters
TCS,TIL Motor Hub Trading FZE,Promoters
TCS,TISPL Trading Company Limited,Promoters
TCS,TitanX Engine Cooling AB,Promoters
TCS,TitanX Engine Cooling Inc.,Promoters
TCS,TitanX Engine Cooling Kunshan Co. Ltd.,Promoters
TCS,TitanX Engine Cooling SRL,Promoters
TCS,"TitanX Engine Cooling, Sp.z.o.o",Promoters
TCS,TitanX Holding AB,Promoters
TCS,TitanX Refrigeracão de Motores LTDA,Promoters
TCS,TP Luminaire Private Limited,Promoters
TCS,TPL Services Private Limited,Promoters
TCS,Alliance Finance Corporation Limited,Promoters
TCS,TPL-Asara Engineering South Africa (Proprietary) Limited,Promoters
TCS,TPL-CIL Construction LLP,Promoters
TCS,TQ Cert Services (Shanghai) Limited,Promoters
TCS,TQ Cert Services LLC,Promoters
TCS,TQ Cert Services Private Limited,Promoters
TCS,TQ Services Europe GmbH,Promoters
TCS,TRIL Bengaluru Consultants Private Limited,Promoters
TCS,TRIL Bengaluru Real Estate One Private Limited,Promoters
TCS,Alliance Leasing Limited,Promoters
TCS,TRIL IT4 Private Limited,Promoters
TCS,Tril Real Estate Balewadi Limited,Promoters
TCS,TRIL Roads Private Limited,Promoters
TCS,TRIL Urban Transport Private Limited,Promoters
TCS,TS Investments Limited,Promoters
TCS,TSBB Voice Private Limited,Promoters
TCS,TTL Mobile Private Limited,Promoters
TCS,Uchit Expressways Private Limited,Promoters
TCS,Ujjwal Pune Limited,Promoters
TCS,Vidiyal Residency Private Limited,Promoters
TCS,Alliance Leasing Uganda Limited,Promoters
TCS,VSNL SNOSPV Pte. Limited,Promoters
TCS,World-One (Sri Lanka) Projects Pte. Limited,Promoters
TCS,World-One Development Company Pte. Limited,Promoters
TCS,Tata Capital Advisors Pte. Limited,Promoters
TCS,Tata Capital Housing Finance Limited,Promoters
TCS,Tata Capital Pte. Limited,Promoters
TCS,Tata Securities Limited,Promoters
TCS,Apex Realty Private Limited,Promoters
TCS,Ardent Properties Private Limited,Promoters
TCS,Arrow Infraestate Pvt Limited,Promoters
TCS,Artifex Interior Systems Limited,Promoters
TCS,Artifex Systems AB (formerly known as Vintara AB),Promoters
TCS,Artson Limited,Promoters
TCS,Automotive Stampings and Assemblies Limited,Promoters
TCS,Blackwood Hodge Zimbabwe (Private) Limited,Promoters
TCS,BUC Mobile Inc,Promoters
TCS,Calsea Footwear Private Limited,Promoters
TCS,Campaign Registry Inc,Promoters
TCS,Campaign Registry Inc (Canada),Promoters
TCS,Changshu Tata AutoComp Systems Limited,Promoters
TCS,Concept Developers & Leasing Limited,Promoters
TCS,Dailyninja Delivery Services Private Limited,Promoters
TCS,Dharamshala Ropeway Limited,Promoters
TCS,Durg Shivnath Expressways Private Limited,Promoters
TCS,Ecofirst Services Limited,Promoters
TCS,Ferbine Private Limited,Promoters
TCS,Goldcup 37220 AB,Promoters
TCS,Goldcup 37221 AB,Promoters
TCS,Gurgaon Constructwell Private Limited,Promoters
TCS,Gurgaon Realtech Limited,Promoters
TCS,Hampi Expressways Private Limited,Promoters
TCS,HL Promoters Private Limited,Promoters
TCS,HLT Residency Private Limited,Promoters
TCS,Impetis Biosciences Limited,Promoters
TCS,Indian Rotorcraft Limited,Promoters
TCS,Industrial Minerals and Chemicals Company Private Limited,Promoters
TCS,Infiniti Retail Limited,Promoters
TCS,Infopark Properties Limited,Promoters
TCS,Innovative Retail Concepts Private Limited,Promoters
TCS,International Infrabuild Private Limited,Promoters
TCS,ITXC IP Holdings S.A.R.L.,Promoters
TCS,Kaleyra Africa (Pty) Limited,Promoters
TCS,Kaleyra Dominicana SRL,Promoters
TCS,Kaleyra Inc,Promoters
TCS,Kaleyra SPA,Promoters
TCS,Kaleyra UK Limited,Promoters
TCS,Kaleyra US Inc.,Promoters
TCS,Kolkata-One Excelton Private Limited,Promoters
TCS,Kriday Realty Private Limited,Promoters
TCS,Land kart Builders Private Limited,Promoters
TCS,Leanluxe Hospitality Private Limited,Promoters
TCS,LFS Healthcare Private Limited,Promoters
TCS,Matheran Rope-Way Private Limited,Promoters
TCS,Mgage Athens PC,Promoters
TCS,Mgage SA de CV,Promoters
TCS,Mikado Realtors Private Limited,Promoters
TCS,Motor-Hub East Africa Limited,Promoters
TCS,MuCoso B.V.,Promoters
TCS,Nanjing Tata Autocomp Systems Limited,Promoters
TCS,Nanjing Tata AutoCompTechnology Company Limited,Promoters
TCS,Newshelf 1369 Pty Ltd.,Promoters
TCS,Niskalp Infrastructure Services Limited,Promoters
TCS,Nova Integrated Systems Limited,Promoters
TCS,Novamesh Limited,Promoters
TCS,Newshelf 1369 Proprietary Limited,Promoters
TCS,"Tata Holdings Mozambique, Lda",Promoters
TCS,Fastighetsbolaget Skara Sporren 20 AB (formerly kn...,Promoters
TCS,Fastighetsbolaget Färgelanda Assarbyn 1:15 AB (for...,Promoters
TCS,"Jamsetji Tata Trust
(Mr. Noel N. Tata, Chairman
M...",Promoters
TCS,"Navajbai Ratan Tata Trust
(Mr. Noel N. Tata, Chair...",Promoters
TCS,LIC of India,DIIs
TCS,Life Insurance Corporation of India,DIIs
TCS,Sbi Nifty 50 Etf,DIIs
TCS,ICICI Prudential Value Fund,DIIs
ICICIBANK,Government Of Singapore,FIIs
ICICIBANK,Government Pension Fund Global,FIIs
ICICIBANK,Dodge And Cox International Stock Fund,FIIs
ICICIBANK,Europacific Growth Fund,FIIs
ICICIBANK,Vanguard Total International Stock Index Fund,FIIs
ICICIBANK,Life Insurance Corporation Of India,DIIs
ICICIBANK,Sbi Mutual Fund,DIIs
ICICIBANK,Icici Prudential Mutual Fund,DIIs
ICICIBANK,Hdfc Mutual Fund,DIIs
ICICIBANK,Nps Trust,DIIs
ICICIBANK,Uti Mutual Fund,DIIs
ICICIBANK,Nippon Life India Mutual Fund,DIIs
ICICIBANK,Kotak Mahindra Mutual Fund,DIIs
ICICIBANK,Sbi Life Insurance Company Limited,DIIs
ICICIBANK,Aditya Birla Sun Life Mutual Fund,DIIs
ICICIBANK,Kotak Mutual Fund,DIIs
ICICIBANK,Mirae Asset Mutual Fund,DIIs
ICICIBANK,Axis Mutual Fund,DIIs
ITC,Tobacco Manufacturers (India) Limited,FIIs
ITC,Myddleton Investment Company Limited,FIIs
ITC,GQG Partners Emerging Markets Equity Fund,FIIs
ITC,Goldman Sachs Trust II - Goldman Sachs GQG Partner...,FIIs
ITC,Rothmans International Enterprises Limited,FIIs
ITC,Government of Singapore,FIIs
ITC,Life Insurance Corporation of India,DIIs
ITC,Specified Undertaking of the Unit Trust of India,DIIs
ITC,SBI Mutual Funds,DIIs
ITC,ICICI Prudential Mutual Funds,DIIs
ITC,General Insurance Corporation of India,DIIs
ITC,NPS Trust (various Pension Funds),DIIs
ITC,The New India Assurance Company Limited,DIIs
ITC,SBI Nifty 50 ETF,DIIs
ITC,UTI Mutual Funds,DIIs
ITC,Nippon Life India Trustee Mutual Funds,DIIs
ITC,HDFC Mutual Funds,DIIs
ITC,The Oriental Insurance Company Limited,DIIs
ITC,Parag Parikh Flexi Cap Mutual Funds,DIIs
ITC,Mirae Asset Mutual Funds,DIIs
SBIN,President Of India,Promoters
SBIN,Government Of Singapore,FIIs
SBIN,Life Insurance Corporation Of India,DIIs
SBIN,Life Insurance Corporation Of India - Ulif00420091...,DIIs
SBIN,Sbi Tax Advantage Fund Series Iii,DIIs
SBIN,Sbi Mutual Fund Schemes,DIIs
SBIN,Hdfc Trustee Company Ltd. A/C Hdfc Top 100 Fund,DIIs
SBIN,Icici Mutual Fund Schemes,DIIs
SBIN,Hdfc Mutual Fund Schemes,DIIs
SBIN,Icici Prudential Value Discovery Fund,DIIs
SBIN,Nps Trust Schemes,DIIs
SBIN,Nps Trust-A/C Uti Retirement Solutions Pension Fun...,DIIs
SBIN,Icici Prudential Mutual Fund Schemes,DIIs
SBIN,Nippon Life India Mutual Fund Schemes,DIIs
SBIN,Kotak Mutual Fund Schemes,DIIs
LT,Government Of Singapore - E,FIIs
LT,Life Insurance Corporation Of India,DIIs
LT,Lici Life Non-Par,DIIs
LT,Sbi Esg Exclusionary Strategy Fund,DIIs
LT,Sbi Dividend Yield Fund,DIIs
LT,Sbi S&P Bse Sensex Etf,DIIs
LT,Sbi Arbitrage Opportunities Fund,DIIs
LT,Sbi Magnum Equity Esg Fund,DIIs
LT,Sbi Long Term Advantage Fund - Series V,DIIs
LT,Sbi Equity Minimum Variance Fund,DIIs
LT,Sbi Nifty 50 Equal Weight Index Fund,DIIs
LT,Sbi Retirement Benefit Fund - Aggressive Plan,DIIs
LT,Sbi Arbitrage Opportunities Fund - 2,DIIs
LT,Icici Prudential Sensex Etf,DIIs
LT,Icici Prudential Large & Mid Cap Fund,DIIs
LT,Bharat 22 Etf,DIIs
LT,Icici Prudential Nifty50 Equal Weight Index Fund,DIIs
LT,Icici Prudential Regular Savings Fund,DIIs
LT,Icici Prudential Nifty Etf,DIIs
LT,Nps Trust A/C Uti Pension Fund Limited-Scheme Cent,DIIs
LT,Nps Trust A/C - Sbi Pension Fund - Ups - Cg Schem,DIIs
LT,Hdfc Mutual Fund - Hdfc Manufacturing Fund,DIIs
LT,Nps Trust- A/C Sbi Pension Fund Scheme,DIIs
LT,Hdfc Trustee Company Ltd - Hdfc Index Fund - Sense,DIIs
LT,Nps Trust A/C - Lic Pension Fund Limited,DIIs
LT,Hdfc Mutual Fund - Hdfc Retirement Savings Fund -,DIIs
LT,Nps Trust- A/C Lic Pension Fund Schem,DIIs
LT,Nps Trust- A/C Uti Retirement Solutions Pension Fund,DIIs
LT,Hdfc Trustee Company Ltd. A/C Hdfc Multi-Asset Fund,DIIs
LT,Nps Trust -A/C Lic Pension Fund Limited Apy Fund,DIIs
LT,Hdfc Large And Mid Cap Fund,DIIs
LT,Hdfc Mutual Fund-Hdfc Arbitrage Fund,DIIs
LT,Hdfc Mutual Fund - Hdfc Dividend Yield Fund,DIIs
LT,Hdfc Mutual Fund - Hdfc Bse 500 Etf,DIIs
LT,Hdfc Mutual Fund-Hdfc Hybrid Debt Fund,DIIs
LT,General Insurance Corporation Of India,DIIs
LT,Nippon Life India Trustee Ltd- A/C Nippon India Vi,DIIs
LT,Uti-Arbitrage Fund,DIIs
LT,Uti Nifty50 Equal Weight Index Fund,DIIs
LT,Uti Nifty 50 Index Fund,DIIs
LT,Uti - Sensex Exchange Traded Fund,DIIs
LT,Icici Prudential Life Insurance Company Limited,DIIs
LT,Nippon Life India Trustee Ltd-A/C Nippon India Mul...,DIIs
LT,Kotak Esg Opportunities Fund,DIIs
LT,Uti Equity Savings Fund,DIIs
LT,Sbi Life Insurance Co. Ltd,DIIs
LT,Kotak Sensex Etf,DIIs
LT,Kotak Equity Hybrid,DIIs
